Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number
P00720,ENLYS_BPT4,reviewed,Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase),E,Enterobacteria phage T4 (Bacteriophage T4),164,3.2.1.17
P00817,IPYR_YEAST,reviewed,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),IPP1 PPA PPA1 YBR011C YBR0202,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),287,3.6.1.1
P00669,RNS_BOVIN,reviewed,Seminal ribonuclease (S-RNase) (Seminal RNase) (EC 4.6.1.18) (Ribonuclease BS-1),SRN,Bos taurus (Bovine),150,4.6.1.18
P61626,LYSC_HUMAN,reviewed,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",LYZ LZM,Homo sapiens (Human),148,3.2.1.17
P00703,LYSC_MELGA,reviewed,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",LYZ,Meleagris gallopavo (Wild turkey),147,3.2.1.17
P00718,LYG_ANSAN,reviewed,"Lysozyme g (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Goose-type lysozyme)",,Anser anser anser (Western greylag goose),185,3.2.1.17
P00698,LYSC_CHICK,reviewed,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)",LYZ,Gallus gallus (Chicken),147,3.2.1.17
P00735,THRB_BOVIN,reviewed,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,Bos taurus (Bovine),625,3.4.21.5
P35033,TRY3_SALSA,reviewed,Trypsin-3 (EC 3.4.21.4) (Trypsin III) (Fragment),,Salmo salar (Atlantic salmon),238,3.4.21.4
P20231,TRYB2_HUMAN,reviewed,Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Tryptase II),TPSB2 TPS2,Homo sapiens (Human),275,3.4.21.59
P01645,KV5AC_MOUSE,reviewed,Ig kappa chain V-V region HP 93G7,,Mus musculus (Mouse),108,
P01749,HVM05_MOUSE,reviewed,Ig heavy chain V region 3,Ighv1-61 Igh-VJ558,Mus musculus (Mouse),117,
P03472,NRAM_I75A5,reviewed,Neuraminidase (EC 3.2.1.18),NA,Influenza A virus (strain A/Tern/Australia/G70C/1975 H11N9),470,3.2.1.18
P15034,AMPP_ECOLI,reviewed,Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase),pepP b2908 JW2876,Escherichia coli (strain K12),441,3.4.11.9
P53041,PPP5_HUMAN,reviewed,Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT),PPP5C PPP5,Homo sapiens (Human),499,3.1.3.16
P14421,PA2N_GLOHA,reviewed,Neutral phospholipase A2 agkistrodotoxin (AGTX) (ATX) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),122,3.1.1.4
